location,address,phone_number,ratings,ratings_count
Kapashera Border New Delhi,"Shop No 8, Ground Floor, khasra No 1285, Near Fun and Food Village, Kapashera Border, New Delhi, 110037",1149073860,,0
Janakpuri District Centre,"Shop No G2 B, Janak Place, Janakpuri District Centre, New Delhi, 110058",7428891155,4.7,579
Green Park Main Market,"S2B, Ground Floor, Green Park Main Market, Near Bandhan Bank, New Delhi, 110016",7428891156,4.6,636
Durgapuri,"1449/118B, Main 100 Ft Road, Shahdara, Durgapuri, Delhi, 110093",8376908797,4.8,731
Masoodpur Vasant Kunj,"Shop No C9, Masoodpur, Opposite Mother Dairy, Vasant Kunj, New Delhi, 110070",7428891161,4.6,783
"Lal Quarters, Krishna Nagar","Shop No B 6/1, Mandir Lane, Lal Quarters, Krishna Nagar, New Delhi, 110051",7428891162,4.6,482
Narela,"Khasra No 123, Main Arya Samaj Road, Pana Mamurpur, Near Ramdev Chock, Narela, Delhi, 110040",8375819311,4.8,193
Flagship Store Greater Kailash 2,"Plot No 38, Ground Floor, M Block, Greater Kailash 2, New Delhi, 110048",8929330350,4.9,361
"Hudson Lane, GTB Nagar","Shop No 2513, Ground Floor, Hudson Lane, GTB Nagar, New Delhi, 110009",7428891175,4.8,1862
Pacific Mall Dwarka,"Shop No Sh/Gf/07, Ground Floor, Pacific Mall, Metro Station Line 3, Near Metro Station Entry Gate, Sector 21, Dwarka, Delhi, 110077",8588931408,4.9,545
Tilak Nagar,"D 118, Jail Road, Fateh Nagar, Tilak Nagar, Delhi, 110018",9999841457,4.9,1857
Sarita Vihar,"Shop No 1, Plot No 8, LSC Pocket H Market, Sarita Vihar Metro Station, Sarita Vihar, New Delhi, 110076",7428891188,4.8,1186
Rohtas Nagar Shahdara,"1/9635, Pratap Pura, Hanuman Road, Street No 5, Shahdara, Delhi, 110032",8929302322,4.9,393
Vegas Mall,"Shop No 90, Groud Floor, Block B, Vegas Mall, Near Sector 14 Metro Station, Sector 14, Dwarka, New Delhi, 110075",7042211409,4.9,1597
Flagship Store Malviya Nagar,"C 3, Ground Floor, Main Market, Malviya Nagar, New Delhi, 110017",9958481482,4.7,1266
Tri Nagar,"1955/A, Ground Floor, Ganesh Pura, Near Raj Nagar, Onkar Nagar, Tri Nagar, Delhi, 110035",9582613683,4.8,121
"Sector 15, Rohini","Ground Floor, Block F, Plot No 40, Pocket 15, Sector 15, Rohini, New Delhi, 110089",8447730334,4.9,1586
West Patel Nagar,"Shop No 4, Ground Floor, Main Market, West Patel Nagar, New Delhi, 110008",7065045129,4.9,852
Yusuf Sarai,"24 1/4, Ground Floor, Shop No 1, Besides Green Park Metro Station Gate No 4, Yusuf Sarai, New Delhi, 110016",7838225457,4.9,767
CR Park,"Plot No K1/78, Ground Floor, Pocket K1, Chittaranjan Park, New Delhi, 110019",7291070327,5.0,102
Harsh Vihar Pitampura,"Shop No 57, Ground Floor, Harsh Vihar, Pitampura, Delhi, 110034",8929167190,4.8,251
Shalimar Bagh,"AG-44, Block AG, Poorbi Shalimar Bagh, New Delhi, 110088",9899410948,4.8,391
Bhera Enclave,"412 Ground Floor, Bhera Enclave, Pashchim Vihar, Delhi, 110087",8929261375,4.9,349
Kohat Enclave Pitampura,"KD 81, Shop No 3 & 4, Pitampura, Near Kohat Enclave Metro Station, Delhi, 110034",8929327325,4.9,655
Adarsh Nagar,"A1, Ground Floor, Moti Lal Road, Near Clove Dental, Adarsh Nagar, Delhi, 110033",9582627697,5.0,101
Paschim Vihar,"Shop No 2, H No 181, Ground Floor, Avtar Enclave, Paschim Vihar, New Delhi, 110063",9582968260,5.0,200
Pacific Mall,"FF 08, First Floor, Pacific Mall, Tagore Garden, Near Subhash Nagar Metro Station, Najafgarh Road, New Delhi, 110018",9654471519,4.9,1158
Mukherjee Nagar,"Ground Floor, Plot No 709, Dr Mukherjee Nagar, Near Batra Cinema, New Delhi, 110009",7428891285,4.8,2058
Najafgarh,"Plot No 2, UGF, Roshan Mandi, Najafgarh, Delhi, 110043",9311773748,4.9,565
Nangloi Jat,"119 Ground Floor, Najafgarh Road, Nangloi, New Delhi, 110041",8929338425,4.9,1096
Select City walk,"S17 A3, 2nd Floor, Select City Walk Mall, District Centre Saket, New Delhi, 110017",8929808413,4.8,553
Kirti Nagar,"Block 1, Industrial Area, Below Kirti Nagar Metro Station, Kirti Nagar, New Delhi, 110015",7428891335,4.8,1467
Khanna Market,"Shop No 93, Khanna Market, Lodhi Colony, New Delhi, 110003",8929443816,4.9,309
Sector 3 Rohini,"Plot No 17, Ground Floor, Pocket F24, Sector 3, Rohini, Delhi, 110086",8447917937,4.9,1157
Mahavir Enclave,"Plot No RZ-F 70, Main Palam, Dabri Road, Near ICICI Bank, Mahavir Enclave, New Delhi, 110045",9810501607,4.8,809
"Sector 7, Rohini","Shop No 1, Plot E-1/1, Sector 7, Rohini, Opposite M2K Cinema, New Delhi, 110085",7428891001,4.7,888
Sector 24 Rohini,"Plot No 55, Pocket 11, Sector 24, In front of Hari Ram Sweets, Rohini, Delhi, 110085",9953858532,4.9,263
Mayur Vihar,"Shop No 35, Ground Floor, Pratap Nagar Market, Opposite SIMT, Mayur Vihar Phase 1, New Delhi, 110091",7428891003,4.8,1413
"Sector 7, Ramphal Chowk, Dwarka","C 394, Ground Floor, Sector 7, Ramphal Chowk, Near Shiksha Bharti School, Dwarka, New Delhi, 110075",7428891006,4.8,1642
Lajpat Nagar,"Shop No C7, Roxy Chowk, Next To Axis Bank, Lajpat Nagar 2, New Delhi, 110024",7428891050,4.7,1713
Burari,"Ground Floor, House No 24, Khata No 137/17/2, West Sant Nagar, Gali No 6, Block A2, Village Burari, Delhi, 110084",7291822393,4.9,558
Ramesh Nagar,"1/2 , Ground Floor, Block 1, Near Nehru Park, Ramesh Nagar, Delhi, 110015",8447728778,4.9,671
Malviya Nagar,"D 83, Shop No 3, Ground Floor, Malviya Nagar, New Delhi, 110017",8447928968,4.9,263
Janakpuri,"Shop No C1/6, Ground Floor, Opposite Mata Chanan Devi Hospital, Janakpuri, New Delhi, 110058",7428891058,4.8,821
Karol Bagh,"Shop No 1/5/30/31, Ajmal Khan Road, West Extension, Karol Bagh, New Delhi, 110005",8588816750,4.8,1283
Flagship Store at Connaught Place,"K 26, Ground Floor, Opposite Pvr Plaza Cinema, Connaught Place, New Delhi, 110001",7428891059,4.7,9919
Flagship Sector 7 Rohini,"Property No 1, Pocket C9, Sector 7, Rohini, New Delhi, 110085",8447642682,4.9,2396
Rajuori Garden,"J 13/56, Ground Floor, Block J, Main Road, Rajouri Garden, New Delhi, 110027",8744084216,4.8,621
"Sector 12, Dwarka","Shop G2 & G3, Ground Floor, Plot No 11, MLU Sector 12, Opposite Gold Croft Apartments, Dwarka, New Delhi, 110075",7428891070,4.7,1193
Mayur Vihar Phase II,"183A, Ground Floor, Pocket A, Mayur Vihar Phase II, Delhi, 110091",9899411718,4.9,297
Alaknanda Market,"Shop No E 1/2, Ground Floor, Bhatia Complex, Alaknanda Market, New Delhi, 110019",7428891071,4.7,504
Laxminagar,"F 4 & 5, Vijay Block, Vikas Marg, Laxmi Nagar, Delhi, 110092",8826621646,4.7,2157
Uttam Nagar,"A27, Ground Floor, Hastal Main Najafgarh Road, Uttam Nagar, New Delhi, 110059",8929273106,4.9,927
Dilshad Garden,"F 257-A, Pocket F, Hansraj Public School Road, Dilshad Garden, Delhi, 110095",8929599397,4.9,173
Kailash Colony,"HS 17, Ground Floor, East Side, Kailash Colony Market, New Delhi, 110048",7428890266,4.9,522
Janakpuri C4E,"Shop No 331, Ground Floor, C4E, Janakpuri, New Delhi, 110058",8929756455,4.9,659
Neb Sarai,"A95,GF, Freedom Fighter Enclave, Main Road, Neb Sarai, Delhi, 110068",8447725705,4.9,1324
Bhajanpura,"F 398, Ground Floor, Khajoori Khas, Main Wazirabad Road, Bhajanpura, New Delhi, 110094",8929277897,4.9,441
Ashok Vihar,"119 A, Deep Enclave, Phase 3, Near Ambedkar Chowk, Ashok Vihar, Delhi, 110052",8130101670,4.9,720
5th Mile,"Giz Home Building, Unity Colony, 5Th Mile, Near Faith Petrol Pump, Dimapur, Nagaland, 797115",9667261262,4.9,1111
Dimapur,"Space M Building, Church Road, Church Road, Opposite Canara Bank, Dimapur, Nagaland, 797112",8929161895,4.9,421
Raghunath Bazaar,"Shop No 210, Main Market, Raghunath Bazaar, Jammu & Kashmir, 180001",8447822812,4.9,924
Kunjwani,"Ground Floor & First Floor, National Highway, Kunjwani, Opposite Petrol Pump, Jammu & Kashmir, 180010",8929331381,4.9,996
Channi,"Ground Floor, Khasra No 4Min, Khata No 18Min, Khewat No 1 Min, Channi, Situated At Mouza Channi Kamala, Jammu & Kashmir, 180015",7303223224,4.9,928
Janipur,"Shop No 4, Lane No 1, Disco Road Janipur, Near Octave Showroom, Jammu & Kashmir, 180007",9319375567,4.9,1706
RS Pura Jammu,"Ground Floor, Khasra No 184 Min, Khata No 691, Khewat No 118, Gagian, RS Pura Jammu, Jammu and Kashmir, 181102",9582548453,4.9,261
The Wave Mall,"Shop No 12, Upper Ground Floor, Malik Market, The Wave Mall, Opposite Bathindi Road, Jammu, Jammu & Kashmir, 181152",7428891262,4.9,1062
Talab Tillo,"Ground Floor, B2, Bharat Nagar, Talab Tillo, Jammu & Kashmir, 180002",8929327307,4.9,668
Udhampur,"Dhar Road, Adjoining Allahabad Bank, Udhampur, Below Oriental Bank Of Commerce, Jammu & Kashmir, 182101",8929337347,4.9,1171
Srinagar Residency,"Le Regal, Near Kohli Brothers, Regal Chowk, Residency Road, Srinagar, Jammu and Kashmir, 190001",9953880635,4.9,52
Gandhinagar,"Shop No 18, Gole Market, Gandhi Nagar, Near Manyavar Store, Jammu & Kashmir, 180004",8826641369,4.9,2056
"Big Bazaar Chowk, Sai Road, Baddi","Big Bazaar Chowk, Sai Road, Near Laj Dharam Kanta, Baddi, Himachal Pradesh, 173205",8929597436,4.9,915
Paonta Sahib,"Sampda, Samsherpur, Paonta Sahib, Sirmaur, Himachal Pradesh, 173025",8447894653,4.9,243
Una Nangal Road,"Upper Ground Floor 3, Khawat No 295, Khatoni No 340, Min Khasra No 873, Malahat Nagar Tehsil, Nangal Road, Una, Himachal Pradesh, 174303",9711452509,4.9,649
Sundar Nagar,"Ground Floor 55/4, Two Shutter Hall, Near Idbi, Village Bhojpur, Mandi, Near Icici Bank, Sundar Nagar, Himachal Pradesh, 175018",8929347552,4.7,890
Palampur,"Shop No 49, Ground Floor, Grand Plaza Complex, Palampur, Beside Dominos, Palampur, Himachal Pradesh, 176061",9971001357,4.9,1423
Kangra,"New Shop Kangra, Ground Floor, Vpo, Kangra, Opposite Ploytechnic College, Himachal Pradesh, 176001",7428890193,4.9,1397
Mall Road,"Shop No 07, Ground Floor, Vivanta Mall, Mall Road, Solan, Himachal Pradesh, 173212",8447845295,4.8,673
Bittan Market,"Shop No E5/1, Bittan Market, Arera Colony, Habib Gunj Chowk, In Front Of Habib Gunj Police Station, Bhopal, Madhya Pradesh, 462016",9582501416,4.9,1352
C21 Mall,"Sf03, Second Floor, C 21 Mall, Plot No 94-104 & 300-303, Scheme No 54, Pu 4 Commercial, Ab Road, Indore, Madhya Pradesh, 452010",7065045121,4.9,683
Rajendra Nagar,"Ground Floor, Plot No 16 C, Part 4, Slice 6, Scheme No 97, Ab Road, Rajendra Nagar, Opposite Ishwari Westend, Indore, Madhya Pradesh, 452012",7065034160,4.9,659
Awadhpuri,"Ground Floor, Plot No 170, Samanvay Colony Village, Khajuri Kalan, Awadhpuri, Bhopal, Madhya Pradesh, 462022",9643824965,5.0,262
Ashoka Garden Bhopal,"Ground Floor, Plot No 109, Ward No 64, Ashoka Garden Raisin Road, Bhopal, Madhya Pradesh, 462023",9643656806,4.9,193
Napier Town,"Shop No 7 & 8, Wardhman Tower, Russel Chowk, Napier Town, Opposite Union Bank, Jabalpur, Madhya Pradesh, 482002",8929328754,4.8,738
Kolar Road,"Plot No 14, 15 & 49, Ground Floor, Dhanlaxmi Tower, Mandakini Society Kolar Road, Mandakini, Near Krishna Dairy, Bhopal, Madhya Pradesh, 462042",8929344384,4.9,971
Mahalaxmi Nagar New,"Ground Floor, Plot No 649/A, Near Jockey Exclusive Store, Sector A, Mahalaxmi Nagar, Indore, Madhya Pradesh, 452010",8929241973,4.9,492
Sadar Main Road,"Groud Floor, Shop No. J 6 A/B, Plot No 43 A, Ashok Marg, Sadar Main Road, Jabalpur, Madhya Pradesh, 482001",9582486829,4.9,1265
Makroniya Sagar,"Shop No 72, Prakash Height, Jabalpur Main Road, Mahavir Ward 6, Makroniya, Opposite Hdfc Bank, Sagar, Madhya Pradesh, 470004",8929263205,4.8,382
Dewas,"Ground Floor, Plot No A 61, Kalani Bagh, Main Ab Road, Dewas, Kalani Bagh, Near Sanskar Hospital, Indore, Madhya Pradesh, 455001",8929288298,4.9,1074
DB Mall,"Khasra No 520, 521, 524, DB Mall, Unit No F2&3, 528 & 529, Racecourse Road, Opposite Railway Station, Gwalior, Madhya Pradesh, 474001",8929839065,4.9,1643
Race Course Road,"Shop No Ug2, Upper Ground Floor, Darshan Mall, 15/2, Race Course Road, Opposite Pf Office, Indore, Madhya Pradesh, 452001",7428891197,4.9,2425
"MG Road, Kothari Market","Shop No 1, Ground Floor, Rampurawala Building, Plot No 7, MG Road, Kothari Market, Indore, Madhya Pradesh, 452007",8929209354,4.9,534
Chanakyapuri Main Road Sehore,"Ground Floor, Khasra No 221, Bhopal Naka, Opposite Polytechnic College, Chanakyapuri Main Road, Sehore, Madhya Pradesh, 466001",9582598588,5.0,504
Jabalpur,"Gorakhpur Main Road, Gorakhpur Road, Near 7 Eleven, Jabalpur, Madhya Pradesh, 482001",8929107443,4.8,620
Adityapur,"Site No 1, Aditypur Colony, Tata Kandra Road, Adityapur, Jamshedpur, Jharkhand, 831013",9870547548,4.9,818
Lalbaugh,"Ward No 40, Lalbaugh Road, Sindhi Basti, Near Madhya Pradesh Gramin Bank, Burhanpur, Madhya Pradesh, 450331",8929162488,5.0,1
Ranjhi,"GF, Plot No 233, Raksha Karmachari Colony, Near IDBI ATM, Main Road Ranjhi, Jabalpur, Madhya Pradesh, 482009",8447387345,4.9,531
Freeganj,"Ground Floor, Unit No 1, VDS Prime Plaza, Plot No 9, Varamihir Marg, Freeganj, Ujjain, Madhya Pradesh, 456001",9582463905,4.8,547
Scheme 140,"Shop No 8, The Row Eight, Scheme No 140, Bicholi Mardana, Pipliyahana, Scheme 140, Opposite Grand Exotica, Indore, Madhya Pradesh, 452016",8929167904,4.9,876
MP Nagar,"Plot No 75, Zone 2, Raymond Showroom Lane, Mp Nagar, In Front Of Domino'S Pizza, Bhopal, Madhya Pradesh, 462011",7428890206,4.8,796
Phoolbagh,"Ground Floor, City Square Building, Shop No G 3, G 4,G 13 & G 14, Near GDA Office, Sai Baba Mandir Road, Phool Bagh, Gwalior, Madhya Pradesh, 474002",9899409859,5.0,702
Ramgarh,"Plot No 172, Gram Thana Chawk, Ramghar Cantt Area, Near Gandhi Chawk, Ramgarh, Jharkhand, 829122",8447834529,5.0,778
Harmu Ranchi,"Ground Floor, Girdhar Plaza, Harmu Road, Girdhar Plaza, Ranchi, Jharkhand, 834001",9654581422,4.8,1472
Nilanchal Colony,"Khata No 5, Plot No 769, Nilanchal Colony, Chanakya Nagar, Saraidhela, Dhanbad, Jharkhand, 828127",8447932982,4.9,1094
H B Road,"Global Enterprises, Ranjen'S Chandralaya, H B Road, Near Santevita Hospital, Opposite Seventh Heaven Restaurant, Ranchi, Jharkhand, 834001",7428890056,4.6,736
Bistupur,"3, Natraj Mansion, Bistupur Main Road, Bistupur, Jamshedpur, Jharkhand, 831001",7303227228,4.9,2238
"Ashok Nagar, Indore","Shop No 11, Tower Square, Bhanwarkua Main Road, Ashok Nagar, Opposite Rr Fuels Bharat Petrol Pump, Indore, Madhya Pradesh, 452001",7428890209,4.9,1534
Nanakheda,"Ground Floor, Plot No 1/2, MIG, Nanakheda Vistar Yojana, Ujjain, Madhya Pradesh, 456010",9899411604,4.9,666
Treasure Island Next Mall,"Shop No F1, First Floor, , Treasure Island Next Mall, Near Biba, Indore, Madhya Pradesh, 452001",7428891258,4.9,639
Sapna Sangeeta,"Shop No G 1, Akashdeep Complex, Plot No 21, Sneh Nagar, Sapna Sangeeta Road, Near Art Gallery, Indore, Madhya Pradesh, 452007",8929346284,4.8,1004
Gwalior,"R/0/770/44, Patankar Bazaar Lashkar, Patankar Bazaar, Near Shanti Nursing Home, Gwalior, Madhya Pradesh, 474001",8929330615,4.9,981
Sector 4 Bokaro,"City Centre, Sector 4, A11, Below Shane Punjab Restaurant, Sector 4 Bokaro, Opposite Central Bank Of India, Bokaro, Jharkhand, 827004",9582390099,4.7,412
Dimna Road,"H No 364, Dimna Road, Mango, Jamshedpur, Near Micro Chemical Lab, Bahar Dari, East Singhbhum, Jamshedpur, Jharkhand, 831012",9582261948,5.0,412
Shyamganj,"Ground Floor, Savitri Complex, Railway Station Road, Near ICICI Bank, Shyamganj, Deoghar, Jharkhand, 814112",9643813896,4.9,605
Bank More,"Ug 3, Upper Ground Floor, Urmila Tower, Bank More, Near Shanti Bhawan, Dhanbad, Jharkhand, 826001",9582440305,4.9,1264
Bariatu,"Shop No 14 & 15, Malabar Enclave, Bariatu, Near D A V School, Ranchi, Jharkhand, 834009",8929328709,4.8,839
Azad Nagar Road No 1,"Shop No 1, Ground Floor, House No 1, Building Asfia Jamal, Gold PS Mango, Azad Nagar, Road No 01, Ward No 8, MNAC, Opposite Ghandhi Maidan, Jamshedpur, Jharkhand, 831012",8929218725,4.9,567
"Flagship Store DB Mall, Maharana Pratap Nagar","Shop No S1 C, Second Floor, DB Mall, Arera Hills, Maharana Pratap Nagar, Besides Crossword And Hamleys, Bhopal, Madhya Pradesh, 462011",7428891307,4.9,2763
Gwarighat Road,"Ground Floor, Plot No 7, Sheet No 2, Khasra No 55/4, Patwari Halka No 24/ 2, Mouza Potipathar No 164, Gwarighat Road, Jabalpur, Madhya Pradesh, 482008",8744085934,4.9,497
Hoshangabad Road`,"Bawadia Kala, Tehsil Huzur, Maple High Street, Hoshangabad Road, Bhopal, Madhya Pradesh, 462026",9582506172,5.0,389
Lig Colony Indore,"G-5 Hig, Ground Floor 03 & Upper Floor, Lig Colony, Khajrani Tehsil, Indore, Madhya Pradesh, 452011",8742975973,4.9,676
Rewa Road,"Infront Of Hotel Savera, Rewa Road, Next To Shagun Sarees, Satna, Madhya Pradesh, 485001",7428890278,4.8,443
Mall Of Ranchi,"Unit No 3, Mall Of Ranchi, Ratu Road, Ranchi, Jharkhand, 834001",9582378913,4.9,728
Sackhi,"Holding No 16, New Kalimati Road, Sackhi, Jamshedpur, Jharkhand, 831001",9870357358,4.9,1096
Bokaro Chas,"Plot No 7090, Mouza Chas, Pargana Chas, P S Chas, Thana No 30, Khaspel, Near Bypass Road, Ward No 16, Bokaro, Jharkhand, 827013",9899412853,4.9,795
"Main Road, Ranchi","Ground Floor, Capitol Hill Building, Main Road, Capitol Hill Building, Ranchi, Jharkhand, 834001",9319372016,4.8,609
Nucleus Mall,"Shop No S5, Second Floor, Circular Road, Lalpur, Nucleus Mall, Ranchi, Jharkhand, 834001",7428891303,4.9,1940
Himayat Nagar,"3-6-110/1,2,3 Shop No 1, Ground Floor, Anand Arcade, Himayath Nagar, Opposite Tata Motors, Hyderabad, Telangana, 500029",7065078535,4.9,1178
Ratlam,"47/01, Station Road, Mahatma Gandhi Marg, Ratlam, Madhya Pradesh, 457001",7303210211,4.7,270
"Stadium Complex, Main Road","Shop No. 3 & 4, Stadium Complex, Main Road, Besides Olympic Gate, Chhindwara, Madhya Pradesh, 480001",7428890287,4.8,447
Kohefiza,"Shop No 3 & 4, Sai Mehandi Apartment, Kohefiza Main Road, Adjacent To Reliance Smart, Bhopal, Madhya Pradesh, 462001",8929440490,4.9,884
kanadia,"Plot No 427 , Vaikuntha Vihar Colony, Alok Nagar, Kanadia Road, Indore, Madhya Pradesh, 452016",8447725775,4.8,719
Gulmohar,"Plot No A02, Anandam Building, Mahakali Society, Bawaria Kalan, Gulmohar Colony, Opposite Aura Mall, Bhopal, Madhya Pradesh, 462039",8588808739,4.9,1033
CMPF Colony,"Police Line, Hirapur, CMPF Colony, Near HDFC Bank, Dhanbad, Jharkhand, 826001",9953776376,4.9,556
Kanke Road,"Shop No 9, Ground Floor, Chandni Chowk, Astor Green, Kanke Road, Chandni Chowk, Ranchi, Jharkhand, 834008",8447731457,4.8,627
P&M Hi Tech City Center Mall,"Un F 04, Outer Circle Rd, Millenium Park, Bistupur, P & M Hi Tech City Center Mall, Jamshedpur, Jharkhand, 831001",7428891345,4.9,1456
Hazaribagh,"Shop No 235, Guru Gobind Singh Road, Near Annada Chowk, Hazaribagh, Jharkhand, 825301",7428891097,4.9,800
Neredmet,"H No 37 74/11/1, Plot No E-62, Survey No 218/1/3, Jj Nagar Ramakrishnapuram, Malkajgiri Municipality And Mandal Ranga Reddy, Neredmet, Hyderabad, Telangana, 500094",7290097285,4.9,2250
Vikrampuri,"Plot No 6 S, Nos 60 6162/1, New Vasavi Colony, Second Venture Kakaguda, Village Secunderabad Cantonment Area, Vikrampuri, Hyderabad, Telangana, 500015",8929436583,4.9,953
DSL Virtue Mall,"FF 02 & 03, First Floor, DSL Virtue Mall, Ramanthapur Main Road, Ida Uppal, Near Uppal Metro Station, Hyderabad, Telangana, 500039",8929871420,4.9,1561
Beeramguda,"Plot No 8/B, H No 14-81/13/8/B/A/1, Raghavendra Colony, Beeramguda, Ramachandrapuram, Hyderabad, Telangana, 502032",9667226227,4.9,2484
"Flagship Store At Vanasthalipuram Main Road, Hyderabad","H No 5-5858/1(New), 5-5-511(Old), Plot No 27 &30, Ward No 05, Chintalknta Of Sahebnagar, Kjurd Village, Hyathnagar Mandal, Ranga Reddy District,Vanasthalipuram, Hyderabad,Telangana, 500074",8744052756,4.9,1714
Scheme No 54,"Shop No G 2, Satsang Sagar Apartment, Plot No Bf39, Scheme No 54, Vijaynagar, Opposite Sica School, Indore, Madhya Pradesh, 452010",8929328755,4.9,738
New Palasia,"Shop No 9, Navneet Plaza, 5/2 Old Palasia, Greater Kailash Road, Indore, Madhya Pradesh, 452001",7065355222,4.9,1661
Airport Road,"Parihar Complex, Plot No 10, Sukhdev Nagar, Airport Road, Kalani Nagar Square, Indore, Madhya Pradesh, 452005",8929437377,4.9,980
Chunabhatti,"Ground Floor, Plot No A5, Janki Nagar, Adjacent to Fab India, Chunabhatti Main Road, Bhopal, Madhya Pradesh, 462016",9582647462,5.0,330
University Road,"Ground Floor, Plot No 1, University Road, Adjacent to Navyug Hospital, Govindpuri, Gwalior, Madhya Pradesh, 474011",8929469731,4.9,733
Kadma,"Ground Floor, Narayan Complex, Kadma, Jamshedpur, Jharkhand, 831005",8929607647,4.9,1618
Puruliya Road,"Puruliya Road, Dangratoli Chowk, Near Kashyap Eye Hospital, Dangratoli, NayaToli, Ranchi, Jharkhand, 834001",9953624837,5.0,282
Champapet,"Shop No 17/1/383/N/80/31, Block No 1, Brindavan Colony Nagar, Champapet, Opposite Manda Ram Reddy Garden, Hyderabad, Telangana, 500079",7428891122,4.9,1287
Mangal City Mall,"Shop No Lg 15, Mangal City Mall, Ab Road, Below Mcdonalds, Indore, Madhya Pradesh, 452010",7428891067,4.8,1354
Indrapuri,"Shop No 20, C Sector, Nagar Nigam Complex, Indrapuri Main Road, Indrapuri, Near Aapurti Super Bazaar, Bhopal, Madhya Pradesh, 462021",7303318319,4.9,1256
Manikbagh Road,"Plot No P9, GF, Shop No 2 & 3, Emrald Business Park, Manik Bagh Road, Palsikar Colony, Indore, Madhya Pradesh, 452007",8929593681,4.9,285
LB Nagar,"Plot No 124 In Survey No 64, Ward No 3, Block No 8, Door No 3-11-22, Sri Enclave, Suvidha Arcade, Rtc Colony, Lb Nagar, Bahadurguda, Hyderabad, Telangana, 500074",9319372707,4.9,1717
Nagole Hyderabad,"Plot No 24, H No 23-39/24, Ground Floor, Sharada Plaza, Bharath Petroleum Lane, Near Nagole X Road, Nagole Circle, Uppal Mandal, Medchal Malkajgiri, Hyderabad, Telangana, 500068",9643702844,5.0,61
Kukatpally,"D#12-6-2/216, P#1 Sy#577, Ground Floor, Kukatpally, Opposite Bjp Office, Hyderabad, Telangana, 500072",7303423424,4.6,437
ECIL Radhika,"Victory Plaza, Plot No 11 Extension, Ecil X Main Road, Khushaiguda, Khushaiguda, Opposite Sbi Bank, Hyderabad, Telangana, 500062",8929261828,4.9,2311
Scheme No 114,"Plot No 1112, Ground Floor, Utsav Choraha, Near Power Station, Part I, Scheme No 114, Indore, Madhya Pradesh, 452010",9899410665,4.9,354
Phoenix Citadel Mall,"Shop No G 64, Plot No 244/1,244/2,242/4,245,248/1/1 243/2, Phoenix Citadel Mall, Mr 10 Road Junction, Nh 3 Bypass Road, Gram Khajrana Highway, Indore, Madhya Pradesh, 452016",8376801641,4.9,456
Minal Residency,"Ground Floor, Shop No 63, 64 & 65, Minal Residency, Opposite Raj HQ, Ayodhya Nagar Bypass, Bhopal, Madhya Pradesh, 462023",9873969860,4.9,328
